year,abbr,relative_margin
2052,OR,0.08828388449580375
2056,OR,0.07585449129952801
2060,OR,0.06483454198245851
2064,OR,0.06062592550442398
2068,OR,0.07854822206596294
2072,OR,0.17638526601852397
2076,OR,0.13465156097028896
2080,OR,0.11167584433863373
2084,OR,0.1353631265401132
2088,OR,0.11745671518683244
2092,OR,0.08463019090345604
2096,OR,0.06941730050445612
2100,OR,0.10638224995850926
2024,PA,-0.0022671554870713
2028,PA,0.029363718154068963
2032,PA,0.034217716084167245
2036,PA,0.03306084516540614
2040,PA,0.042996193106694246
2044,PA,0.024452086099922516
2048,PA,0.020259127844348364
2052,PA,0.009184151904762407
2056,PA,0.020896291385642075
2060,PA,0.023548979166138878
2064,PA,0.035740850768612324
2068,PA,0.02130041250903648
2072,PA,0.005771916362530481
2076,PA,0.04362854021558063
2080,PA,0.030381659326860905
2084,PA,0.05802550186532135
2088,PA,0.04491144765002796
2092,PA,-0.023844648762732252
2096,PA,0.013575482432808164
2100,PA,0.05116711500468308
2024,RI,0.1566207541131068
2028,RI,0.21228475065442287
2032,RI,0.19387017161162381
2036,RI,0.19015512446905974
2040,RI,0.2149766221057488
2044,RI,0.17978181539315718
2048,RI,0.16609119224880625
2052,RI,0.1936381724371823
2056,RI,0.13819501900531272
2060,RI,0.18954977675535226
2064,RI,0.0963375461007078
2068,RI,0.18876281429899566
2072,RI,0.29119809303155525
2076,RI,0.2530278752051828
2080,RI,0.21197784286973664
2084,RI,0.19677288057133163
2088,RI,0.201076962032219
2092,RI,0.21690336705474922
2096,RI,0.16304921199893668
2100,RI,0.20933851055874927
2024,SC,-0.1662369608361812
2028,SC,-0.092610775189525
2032,SC,-0.06517145266045618
2036,SC,-0.05970990948815135
2040,SC,-0.004123746539815779
2044,SC,-0.05870169760073618
2048,SC,-0.07288955074297383
2052,SC,-0.06996227253074862
2056,SC,-0.0667669808308178
2060,SC,-0.08516555122490929
2064,SC,-0.0868009454061657
2068,SC,-0.10720905714447182
2072,SC,-0.1387678255286815
2076,SC,-0.16499160126951057
2080,SC,-0.1964248019490944
2084,SC,-0.09642261765753839
2088,SC,-0.07504728673210356
2092,SC,-0.15966253639174588
2096,SC,-0.17949201791013641
2100,SC,-0.1800956675685802
2024,SD,-0.2839052993043304
2028,SD,-0.19863038473985314
2032,SD,-0.16111195172721487
2036,SD,-0.3103230926955664
2040,SD,-0.19707283490112296
2044,SD,-0.1371838184142835
2048,SD,-0.18312704369462154
2052,SD,-0.2669535499253492
2056,SD,-0.38486985830064135
2060,SD,-0.16152852926726616
2064,SD,-0.10383709023797383
2068,SD,-0.10783098090659161
2072,SD,-0.12287542373217238
2076,SD,-0.19306672308956657
2080,SD,-0.3006827506048427
2084,SD,-0.254135627268439
2088,SD,-0.25896367615598953
2092,SD,-0.15666609410448012
2096,SD,-0.22614841288199167
2100,SD,-0.5626113705333545
2024,TN,-0.2862143051157332
2028,TN,-0.06631158841876506
2032,TN,-0.07456675029518588
2036,TN,0.010596573928301933
2040,TN,-0.025843222395004424
2044,TN,-0.004070815895547825
2048,TN,-0.07866581414039281
2052,TN,-0.1413783257930192
2056,TN,-0.14588482054717816
2060,TN,-0.17388979022107703
2064,TN,-0.16276214892290358
2068,TN,-0.11317260153421095
2072,TN,-0.21818907387081588
2076,TN,-0.2770672425525357
2080,TN,-0.25304331293457527
2084,TN,-0.16873200626659074
2088,TN,-0.20115844441924766
2092,TN,-0.2917244673098457
2096,TN,-0.31725636851772426
2100,TN,-0.15426562868838972
2024,TX,-0.1237839865819844
2028,TX,-0.07504774872809432
2032,TX,-0.11602693826318297
2036,TX,-0.06264307955862644
2040,TX,-0.1558909294733132
2044,TX,-0.1931139538501087
2048,TX,-0.17151685345983805
2052,TX,-0.2140514861494512
2056,TX,-0.21913016238719107
2060,TX,-0.18871132298456797
2064,TX,-0.20016249928769592
2068,TX,-0.17682146953328431
2072,TX,-0.1726927268957982
2076,TX,-0.18778275048993123
2080,TX,-0.22995658981084124
2084,TX,-0.17751163083999075
2088,TX,-0.2623071317677216
2092,TX,-0.2996618279083074
2096,TX,-0.23788621390992615
2100,TX,-0.22370454545207671
2024,UT,-0.2071103008997858
2028,UT,-0.2973476911286155
2032,UT,-0.1921623275020892
2036,UT,-0.34918070852640054
2040,UT,-0.38556910009578144
